Domain,Competitor Relevance,Common Keywords,Organic Keywords,Organic Traffic,Organic Cost,Adwords Keywords
bogglesworldesl.com,0.033134833,856,21245,21193,7469.00,0
teacherplanet.com,0.033028904,838,19283,22810,14543.00,0
whooosreading.org,0.03295555,588,9298,63150,146986.00,0
theteacherscafe.com,0.03246886,609,13102,3927,2525.00,0
thecurriculumcorner.com,0.032262426,779,25318,15719,6681.00,0
homespellingwords.com,0.03168734,843,4900,31240,29300.00,0
dailywritingtips.com,0.03164456,1891,252724,961064,945125.00,0
guidetogrammar.org,0.03158978,1123,89834,75657,57017.00,0
teachingmadepractical.com,0.03155019,774,13341,22555,11489.00,0
yourdictionary.com,0.031426262,14216,2394003,34746172,22968776.00,0
grammar.com,0.031333614,1285,65534,1051492,1113552.00,0
scholastic.com,0.03080729,6966,1309634,3532789,2372917.00,384
uniqueteachingresources.com,0.030453783,739,18203,14735,9295.00,0
ecenglish.com,0.029808218,1308,125592,245347,80407.00,16
commoncoresheets.com,0.029709447,904,90932,216860,160193.00,0
allaboutlearningpress.com,0.02933763,858,57512,84758,50036.00,0
dadsworksheets.com,0.028709797,883,47519,178692,85531.00,0
twinkl.com,0.028624399,1003,62025,65935,3966.00,0
cpalms.org,0.028482717,1075,174535,95715,30751.00,0
studentreasures.com,0.028376631,698,13353,16568,17063.00,0
ef.edu,0.028137581,1085,83382,233163,194501.00,13
donnayoung.org,0.027944217,776,14782,23809,5058.00,0
newpathworksheets.com,0.027604379,542,13401,5936,5853.00,26
brainpop.com,0.027103687,1152,193684,1174435,1339506.00,29
tes.com,0.02659586,2245,652206,239549,88138.00,40
twinkl.co.uk,0.026576964,981,142592,53679,3759.00,0
spellzone.com,0.02639426,1183,130817,775798,234664.00,0
enchantedlearning.com,0.026146946,1706,293081,955974,473313.00,0
brighthubeducation.com,0.026136314,1439,245674,166441,64960.00,0
misd.net,0.026132198,607,40838,68451,58839.00,0
depaul.edu,0.02599718,1077,278982,580819,1758330.00,383
printablepaper.net,0.025919804,675,16303,105644,80644.00,0
eslprintables.com,0.025830386,668,49596,9227,787.00,0
myenglishpages.com,0.025704337,901,69265,87571,31912.00,0
lessonplanet.com,0.0254956,597,53504,8123,2161.00,125
pearsonlongman.com,0.02534908,585,19488,23309,64698.00,0
lwtears.com,0.024524018,561,16667,68546,24042.00,2
allthingsgrammar.com,0.024453437,551,14195,7229,542.00,0
termiumplus.gc.ca,0.02444836,970,167735,157338,93462.00,0
theteacherscorner.net,0.024310553,730,40633,126838,74135.00,0
worksheetfun.com,0.023774523,766,27695,107619,72331.00,0
fcrr.org,0.02298672,571,30237,25632,17647.00,0
confessionsofahomeschooler.com,0.022980727,583,32084,27815,50996.00,0
dltk-holidays.com,0.022968028,724,54865,119936,25812.00,0
learngrammar.net,0.022715366,658,13274,27784,3837.00,0
teachjunkie.com,0.022605797,642,32304,17370,8684.00,0
englisch-hilfen.de,0.022241263,835,76013,174240,63510.00,0
apples4theteacher.com,0.021329766,673,46846,515534,511525.00,0
thoughtfullearning.com,0.0212123,602,16717,21276,14380.00,0
englishpractice.com,0.020349663,513,15162,7973,1579.00,0
citationmachine.net,0.020285953,898,71173,3349385,6171569.00,0
grammarist.com,0.020250147,1440,230661,2795129,1675800.00,0
schoolexpress.com,0.020121021,492,4505,2885,3106.00,0
commonlit.org,0.019664722,438,42087,248598,107629.00,28
activityvillage.co.uk,0.019636253,674,79966,76225,37250.00,0
longcountdown.com,0.019449307,457,3940,6525,2870.00,0
smart-words.org,0.019356143,632,43123,503966,347963.00,0
aaaspell.com,0.019083722,445,3171,6235,4952.00,0
kyschools.us,0.018969713,915,301262,855374,807767.00,0
classk12.com,0.018926973,396,17256,10543,11028.00,0
woojr.com,0.01873009,622,50404,102882,34242.00,0
lamission.edu,0.018726146,490,67722,77469,177653.00,0
teachstarter.com,0.018685456,561,52043,27328,18266.00,0
litcharts.com,0.018468985,1695,325750,1228683,542794.00,7
fis.edu,0.018350985,470,40847,33566,22041.00,0
english-for-students.com,0.01827055,822,85032,190830,53159.00,0
teachingideas.co.uk,0.018192217,521,48221,35379,12424.00,0
grammar-quizzes.com,0.018134838,489,32878,39745,39345.00,0
kizphonics.com,0.018024635,466,10920,8942,10551.00,0
ne.gov,0.018024493,742,340031,444215,476367.00,0
aresearchguide.com,0.01799259,871,138628,262712,163329.00,0
prowritingaid.com,0.017945599,580,56453,178387,176157.00,0
theschoolrun.com,0.01783844,788,218731,197641,96116.00,0
robeson.k12.nc.us,0.017795369,478,44972,60628,28368.00,0
schoolspecialty.com,0.017781842,684,170899,169448,167217.00,369
jc-schools.net,0.017770683,439,28400,35921,50618.00,0
wordville.com,0.017634984,453,3056,904,530.00,0
achievethecore.org,0.017611193,490,55707,40541,50390.00,0
cu-portland.edu,0.017509762,583,129595,242456,1603110.00,1951
mhschool.com,0.017451549,435,19659,22737,10775.00,0
engageny.org,0.017449785,816,210240,266455,435248.00,0
howtospell.co.uk,0.017437186,460,25285,168189,53641.00,0
justbuyessay.com,0.017340844,534,23912,110171,148509.00,0
tolearnenglish.com,0.01718866,501,37540,34070,4292.00,0
myenglishteacher.eu,0.016955927,609,95780,291544,197931.00,0
readnaturally.com,0.01694767,425,17092,41611,41108.00,4
literacyideas.com,0.016897904,433,12415,9145,6976.00,0
greatschools.org,0.01688528,5275,1001799,3980329,4459187.00,0
mdc.edu,0.01672009,572,134858,552703,3780576.00,3
the-teacher-next-door.com,0.016716601,407,9507,6327,3257.00,0
grammar.cl,0.016517097,536,33932,62384,13160.00,0
freeology.com,0.0164588,377,9313,24304,22589.00,0
learnthat.org,0.016421916,521,21087,62067,10016.00,0
risd.k12.nm.us,0.01638831,316,11527,13702,2670.00,0
quia.com,0.016372073,1429,471520,804409,448910.00,0
crayola.com,0.016193077,661,120285,1042636,574011.00,9
homophone.com,0.016177805,494,9049,39539,9686.00,0
perfect-english-grammar.com,0.016170735,529,36609,55618,23217.00,0
penningtonpublishing.com,0.016062172,333,11548,4177,1302.00,0
masterclass.com,0.015832178,1054,287741,1779446,1411868.00,494
playdoughtoplato.com,0.015762499,419,33806,31893,24912.00,0
teachingbanyan.com,0.0155879855,434,19489,21522,1063.00,0
learningfarm.com,0.015495683,344,9195,69824,175065.00,2
learnenglishfeelgood.com,0.015337065,343,15920,6562,3195.00,0
butte.edu,0.015333566,468,54818,135498,215008.00,0
penlighten.com,0.015324991,546,54331,72410,25724.00,0
englishteststore.net,0.015244505,301,10327,7492,1099.00,0
worksheetlibrary.com,0.01524358,314,4642,2151,1118.00,0
edplace.com,0.015210081,332,29769,21365,5370.00,0
kidsacademy.mobi,0.015168978,396,14754,12185,18629.00,0
waldenu.edu,0.01503257,674,189727,653140,3440813.00,18179
myenglishgrammar.com,0.014873743,398,10151,5313,1023.00,0
thoughtco.com,0.014812439,11310,4308661,16884197,12028045.00,0
learnzillion.com,0.014662305,491,78100,139170,136461.00,6
esldesk.com,0.014639789,324,6093,7673,2871.00,0
design-your-homeschool.com,0.014449924,357,3576,2982,2299.00,0
myteachingstation.com,0.014360425,448,10696,14002,6425.00,0
homereadinghelper.org,0.014057276,432,3201,5324,3608.00,0
toddler-net.com,0.013943182,334,4713,19150,11278.00,0
minds-in-bloom.com,0.013834725,365,22177,21064,15611.00,0
printnpractice.com,0.013792095,305,4000,1374,295.00,0
perfectyourenglish.com,0.013778693,314,8064,4097,357.00,0
teachingsquared.com,0.013759468,274,4761,1852,461.00,0
uen.org,0.01366389,515,162574,102593,86642.00,0
educationquizzes.com,0.013637753,405,54943,24319,5301.00,0
nea.org,0.013623984,603,180085,816209,1372591.00,0
jenniferfindley.com,0.013563424,353,19845,7586,4055.00,0
siia.net,0.013530586,306,25696,8554,11643.00,80
logicofenglish.com,0.013514297,375,16128,51510,15231.00,0
kindergartenworksheets.net,0.013493626,367,3681,5474,4230.00,0
esl-lounge.com,0.013430144,371,39318,34937,8048.00,0
mrsjudyaraujo.com,0.013382003,343,20965,6439,3510.00,0
theschoolhouse.us,0.013367857,355,10925,27535,4267.00,0
instructorweb.com,0.013305495,294,7231,1657,1056.00,0
scribendi.com,0.012973772,524,90953,250694,358726.00,194
talkenglish.com,0.012970716,449,44085,131087,54857.00,0
espressoenglish.net,0.012961739,501,85502,164119,69852.00,0
grammar-worksheets.com,0.012953572,290,3980,2823,1683.00,0
learnamericanenglishonline.com,0.01295286,369,36519,69884,16539.00,64
itsybitsyfun.com,0.012915783,333,14925,15832,6220.00,0
examword.com,0.012896915,307,16261,15548,9498.00,0
planesandballoons.com,0.012826083,390,11229,28570,10428.00,0
mrsperkins.com,0.012711176,332,3058,6433,2052.00,0
quizizz.com,0.012690931,1015,532303,2200284,2725386.00,0
britishcouncil.org,0.012662698,900,381648,428366,289590.00,0
examples.com,0.012658928,625,120537,197561,233147.00,0
varsitytutors.com,0.012647693,950,407084,1364647,1276871.00,2505
preschoolmom.com,0.012446329,357,11736,22942,8900.00,0
aims.edu,0.012398744,354,45241,151179,285431.00,4
handwritingpractice.net,0.012387672,305,1691,7154,2928.00,0
englishplus.com,0.012280804,410,24250,87028,32665.00,0
commonsense.org,0.012245216,554,181401,769983,1337697.00,291
enhancemywriting.com,0.012135315,435,15845,179331,148394.00,0
testden.com,0.012121608,282,15081,13061,3224.00,0
easyteaching.net,0.012120978,258,3883,2659,371.00,0
iowareadingresearch.org,0.012090838,287,7764,2732,2068.00,0
eliteessaywriters.com,0.011860547,392,35806,48181,62942.00,0
theclassroom.com,0.011823847,653,182897,251812,725543.00,0
englishpage.com,0.011751895,385,26739,54959,24397.00,0
funwithmama.com,0.01169097,321,31616,31841,15198.00,0
ashford.edu,0.01168141,513,99315,509701,1768717.00,6759
pcmac.org,0.0116810305,506,204310,122943,59251.00,0
getitwriteonline.com,0.011651139,347,31445,105663,81736.00,0
onlineteachersuk.com,0.011614159,296,11731,5192,1046.00,0
theteachersguide.com,0.01150793,214,7491,18252,24702.00,0
edl.io,0.011465469,1069,601497,548019,288542.00,0
teachingchannel.org,0.011445545,313,56119,38507,68512.00,0
cleverlearner.com,0.011437764,305,6584,7932,2248.00,0
nadams.k12.in.us,0.011427148,282,4070,5564,3782.00,0
study.com,0.011414661,10010,4480964,13752672,20345409.00,1888
esltower.com,0.011410656,224,11090,2480,1545.00,0
algonquincollege.com,0.011362212,386,61624,45586,28284.00,19
rockinresources.com,0.011343305,276,4425,2838,1010.00,0
englishexercises.org,0.011319489,290,18383,6616,610.00,0
readingandwritinghaven.com,0.011302592,274,17965,10552,8054.00,0
theottoolbox.com,0.011200733,314,20286,14704,4359.00,0
skillsworkshop.org,0.01118555,235,9304,3484,253.00,0
smekenseducation.com,0.011182698,310,19412,18804,6169.00,0
easypeasylearners.com,0.011173997,333,6697,19228,1635.00,0
eslflow.com,0.011155939,244,12416,5369,1050.00,0
sparklebox.co.uk,0.011115859,383,50066,31982,4886.00,0
englishwsheets.com,0.011111906,262,8068,3473,670.00,0
myschoolhouse.com,0.011095113,221,4809,7270,2454.00,0
allesl.com,0.011090079,235,6775,3397,1339.00,0
english-grammar.at,0.010966302,262,12833,4862,806.00,0
teach-this.com,0.010930813,295,23283,16087,2192.00,0
english-4kids.com,0.010910741,299,22508,5404,4091.00,0
teachthought.com,0.010873911,407,123728,204177,302557.00,0
parentingpatch.com,0.010862548,268,24182,9742,3092.00,0
writeshop.com,0.010845688,311,19628,21018,4900.00,0
dltk-kids.com,0.01077612,400,93500,291343,157278.00,0
montgomeryschoolsmd.org,0.01070738,371,168605,983631,2048017.00,0
pro-essay-writer.com,0.010664928,354,18247,52250,59037.00,0
usingenglish.com,0.010639649,617,207002,409193,126706.00,0
edubirdie.com,0.010590144,372,49884,236644,408067.00,0
morewords.com,0.010584009,541,64528,471301,75103.00,0
tutorvista.com,0.010563927,276,19355,11463,3354.00,0
partofspeech.org,0.010525746,343,12338,64245,7319.00,0
texasgateway.org,0.010444057,416,171838,170239,131280.00,0
warrencountyschools.org,0.010430506,222,34960,59920,17367.00,0
bookwidgets.com,0.010411358,220,17530,19958,32387.00,0
mamaslearningcorner.com,0.010404949,243,6072,1838,632.00,0
testprepreview.com,0.010385867,416,85547,154596,261173.00,0
whatihavelearnedteaching.com,0.010379768,312,24769,12908,8411.00,0
ego4u.com,0.010351175,320,41187,52427,26049.00,0
teacherprintables.net,0.010334299,244,1822,1970,789.00,0
bhamcityschools.org,0.010321323,253,30123,70531,91393.00,0
osymigrant.org,0.0102643315,209,6413,3072,301.00,0
class-templates.com,0.01025909,203,3913,14046,13535.00,0
stcs.k12.oh.us,0.010253759,170,4837,7688,5871.00,0
kyrene.org,0.010214226,264,63077,94733,61581.00,0
corecommonstandards.com,0.010173424,181,3042,1920,1265.00,0
free-phonics-worksheets.com,0.010151945,350,1941,718,279.00,0
cn.edu,0.01008261,332,75195,125623,154471.00,0
eduplace.com,0.010073799,424,144241,321249,183085.00,0
mansfieldschools.org,0.010072404,252,6204,4405,3908.00,0
roomrecess.com,0.010049214,266,22446,144081,223035.00,0
macmillanmh.com,0.010045202,247,12476,17397,5192.00,0
northlandprep.org,0.0099768415,216,10710,9064,3281.00,0
utexas.org,0.00994476,281,12516,9222,5595.00,0
reallifeathome.com,0.009927522,246,25538,11867,7290.00,0
thinkwritten.com,0.009842935,299,12113,49716,91546.00,0
vocabulary.com,0.00981535,3101,1207783,37548871,26287708.00,0
poetry4kids.com,0.009782123,262,17679,37977,29432.00,0
iitb.ac.in,0.009627688,312,121883,47846,12689.00,0
kidscanhavefun.com,0.009600482,211,8301,3187,2452.00,0
lakeshorelearning.com,0.0095966915,339,135004,323581,152568.00,139
writemyessay4me.org,0.0095962705,334,22315,64804,60211.00,0
mathworksheetsland.com,0.009573365,275,34087,30516,20123.00,0
lcps.org,0.009507442,482,296659,581425,720835.00,0
reading-sage.blogspot.com,0.009502504,240,5077,1944,1392.00,0
literary-devices.com,0.009502383,331,9600,92804,58093.00,0
edusson.com,0.009421803,274,27498,42538,53442.00,0
oxford-royale.com,0.009362457,278,23358,15033,9939.00,73
timvandevall.com,0.009356509,221,11618,18417,6457.00,0
onlinemathlearning.com,0.009318987,526,183423,338716,192108.00,0
msu.edu,0.009296149,398,193798,568450,782792.00,0
evan-moor.com,0.009259478,244,12794,17516,9281.00,14
dolchword.net,0.009230406,364,1918,12804,6009.00,0
sinclair.edu,0.009227562,175,31731,147656,396637.00,0
understood.org,0.009157339,451,219068,639126,1221260.00,0
stickyball.net,0.009140751,209,7305,10059,995.00,0
spellingtraining.com,0.009134022,189,5531,16081,19035.00,0
maketaketeach.com,0.009114684,263,11523,23966,6459.00,0
freelanguagestuff.com,0.009111614,205,2642,1632,218.00,0
louisianabelieves.com,0.009105821,326,140111,142570,420493.00,0
speechandlanguagekids.com,0.009080708,242,21981,30644,35027.00,0
purdue.edu,0.009051433,1682,1661892,7346554,13148915.00,1061
englishmaven.org,0.009037286,217,6186,6092,5515.00,0
gallaudet.edu,0.00901596,307,81883,133191,256838.00,0
bid4papers.com,0.009008323,302,13154,69546,56162.00,0
richmond.edu,0.0090035945,393,227715,275118,393003.00,29
learningattheprimarypond.com,0.0089972345,250,15424,9484,7004.00,0
funfonix.com,0.0089748595,227,3537,1533,1066.00,0
commnet.edu,0.008960856,233,35359,152436,570710.00,0
instantworksheets.net,0.008953465,217,2628,6829,477.00,0
dailyteachingtools.com,0.008923722,258,8209,13165,11913.00,0
easypacelearning.com,0.008865032,262,30336,35982,7734.00,0
edutopia.org,0.00884946,439,193310,276455,549128.00,352
egusd.net,0.008804734,220,47097,166077,144294.00,0
speakspeak.com,0.008803464,280,24593,20432,4873.00,0
essaymasters.co.uk,0.008798887,205,4695,4305,4475.00,0
membean.com,0.00872017,319,22301,306998,431002.00,0
themailbox.com,0.008704699,201,13952,14158,14164.00,87
brownbagteacher.com,0.008654399,206,13648,9234,3790.00,0
quickworksheets.net,0.00862208,184,6888,4158,4313.00,0
bcsc.k12.in.us,0.008603819,157,22151,38615,34815.00,0
missdecarbo.com,0.008603576,207,6555,2189,534.00,0
wordinfo.info,0.0085888775,343,37397,70291,40479.00,0
hitbullseye.com,0.008567174,312,49591,45583,11667.00,2
georgiastandards.org,0.00848582,256,79769,42847,21559.00,0
seattlepi.com,0.008470019,696,678105,612829,1233312.00,0
magoosh.com,0.008469083,700,327396,836477,1504696.00,97
grammaruntied.com,0.008465377,204,5497,5487,1117.00,0
quickanddirtytips.com,0.00844648,551,368476,698217,551958.00,0
esl-galaxy.com,0.00842515,210,19492,3890,3332.00,0
englishhints.com,0.0083985105,229,19048,15729,3958.00,0
readingeggs.com,0.008395586,222,23799,198852,557221.00,0
templatelab.com,0.008385683,432,149758,517644,907610.00,0
warrenhills.org,0.008379043,170,18212,16297,9699.00,0
freehomeschooldeals.com,0.008313283,242,12481,5229,3582.00,0
lawlessenglish.com,0.008311125,289,23914,115991,101232.00,0
teacher.org,0.008279946,369,157197,147470,623865.00,0
twistynoodle.com,0.008259406,230,11022,28034,7323.00,0
glencoe.com,0.008225655,251,74993,88133,68075.00,0
dltk-cards.com,0.008221984,172,11489,24393,15710.00,0
thepunctuationguide.com,0.0082165105,246,12837,348993,122699.00,0
math-salamanders.com,0.008205451,347,69641,148878,97237.00,0
homeschoolgiveaways.com,0.008184537,203,23235,9966,4752.00,0
manythings.org,0.008182857,393,167905,337125,68770.00,0
free-for-kids.com,0.008158844,181,11058,14647,8823.00,0
theidioms.com,0.00814699,278,34267,88658,13184.00,0
reedsy.com,0.00812321,384,109792,624765,823761.00,51
clarendonlearning.org,0.0081196055,212,5787,1043,327.00,170
cuesta.edu,0.008062667,207,27921,60677,172261.00,0
wordgametime.com,0.008034759,180,7550,10783,14693.00,0
ldsd.org,0.0080114575,188,13903,16647,2380.00,0
mes-english.com,0.008004018,205,17812,6959,2547.00,0
proprofs.com,0.008000543,1123,718142,1388637,676871.00,0
bigactivities.com,0.007999015,220,11748,28487,4685.00,0
paperrater.com,0.007943529,217,15435,179374,418198.00,0
eflnet.com,0.0079307,202,8889,9740,2129.00,0
mass.edu,0.007923262,336,224639,267866,630970.00,1
handwritingforkids.com,0.007901989,210,3569,26377,7003.00,0
3dinosaurs.com,0.007893108,166,12932,3892,749.00,0
wordcounter.net,0.00789226,269,60311,884159,1701461.00,0
dictionary.com,0.007874543,5057,2322110,111844197,87408819.00,0
teachhub.com,0.007871646,309,71196,62446,68643.00,0
unc.edu,0.007838626,939,1384615,2558065,3973711.00,93
primarylearning.org,0.007775626,171,2799,3068,599.00,0
teachingenglish.org.uk,0.007756704,263,89529,58480,21995.00,0
learnenglish.de,0.007735443,256,30246,37983,21441.00,0
quill.org,0.0076916865,155,8096,64759,51513.00,0
storyboardthat.com,0.0076481234,303,111593,204365,328884.00,0
onplanners.com,0.00761557,188,8713,32027,48085.00,0
patternbasedwriting.com,0.0076052975,215,7424,4665,1797.00,0
speechlanguage-resources.com,0.0075871386,146,5899,2793,508.00,0
wpmucdn.com,0.0075852424,237,162560,112416,57417.00,0
nownovel.com,0.007539243,274,30786,131332,37786.00,0
megaworkbook.com,0.007526565,228,6906,10932,2847.00,0
sausd.us,0.0074567683,188,50433,136655,83191.00,0
troup.org,0.007434852,169,32949,19090,6874.00,0
visualthesaurus.com,0.0073926784,192,50481,101716,53073.00,0
paperkit.net,0.0073914276,184,1756,4389,4034.00,0
printable-worksheets.com,0.0073739914,151,2291,2116,1728.00,0
penandthepad.com,0.0073692244,313,86568,119872,33267.00,0
planningplaytime.com,0.00733853,204,13276,4609,1756.00,0
magickeys.com,0.007326885,226,8795,49104,65948.00,0
english-4u.de,0.0072739488,181,11013,8831,2263.00,0
toolsforeducators.com,0.0072712437,171,10745,30766,20868.00,0
mrswillskindergarten.com,0.007210313,196,17650,12898,9521.00,0
cowan.k12.in.us,0.0072086365,159,5733,6055,21858.00,0
keepkidsreading.net,0.0071948837,228,1876,1562,234.00,0
writeawriting.com,0.007183604,195,19242,11195,11934.00,0
awellspringofworksheets.com,0.0071813595,155,3331,1305,150.00,0
d3jc3ahdjad7x7.cloudfront.net,0.0071776696,330,184105,190674,108979.00,0
onestopenglish.com,0.0071774856,222,48587,21582,7975.00,0
azed.gov,0.007144016,206,75478,85085,185661.00,0
pre-kpages.com,0.0071439627,317,83006,132679,125541.00,0
inklyo.com,0.0071428865,191,12469,27149,19328.00,0
nthurston.k12.wa.us,0.0071353037,191,41458,67591,46155.00,0
learnersdictionary.com,0.00711459,634,259910,3178758,1976040.00,0
synonym.com,0.007091176,868,582673,1831860,663176.00,0
inspiremykids.com,0.0070897075,200,12315,20047,10037.00,0
teachwire.net,0.0070726657,170,22357,6612,4417.00,0
studiestoday.com,0.0070484625,207,26773,28901,461.00,0
wordsmyth.net,0.007040878,363,123464,967455,480877.00,0
rethinkela.com,0.007037819,123,2765,2165,1513.00,0
carlscorner.us.com,0.0070266835,201,6852,8917,4119.00,0
learner.org,0.007002325,338,204423,338050,217311.00,0
simplykinder.com,0.006979344,186,26811,24119,22077.00,0
norwellschools.org,0.006966475,156,12964,12530,5451.00,0
ateachableteacher.com,0.006964537,197,6168,4912,2863.00,0
k5chalkbox.com,0.0069614854,140,4503,2730,1758.00,0
homeschoolmath.net,0.006955407,339,132066,312950,206141.00,0
myspeechclass.com,0.006931407,233,27564,169141,254668.00,0
hrw.com,0.006900346,179,9956,207966,284029.00,0
estrellamountain.edu,0.006867835,230,144993,156259,190095.00,0
esllibrary.com,0.0068419976,165,21475,18712,8751.00,109
fsassessments.org,0.00682684,172,20902,104148,294061.00,0
justdomyhomework.com,0.0067847897,201,8293,13588,19492.00,0
ldonline.org,0.006770713,183,51860,51785,72489.00,0
writeathome.com,0.0067390166,209,19247,33840,4590.00,0
pbslearningmedia.org,0.006717301,364,274189,301739,337981.00,215
ncpublicschools.org,0.006705634,212,128588,110638,194976.00,0
edgalaxy.com,0.006659942,176,11025,9781,10256.00,0
fesd.org,0.0066455286,59,3583,6326,3697.00,0
spellquiz.com,0.006636243,162,3171,2380,2005.00,0
lauracandler.com,0.006627035,188,26279,20853,17120.00,0
thewritepractice.com,0.0066174436,237,49551,108837,106494.00,0
readinghorizons.com,0.006602214,169,11301,21205,26147.00,0
papersowl.com,0.006566146,223,36191,113607,189355.00,0
edumantra.net,0.0065588234,169,14526,9322,353.00,0
pdesas.org,0.006549455,213,59343,47481,26397.00,0
englishbix.com,0.0065469877,149,48011,6842,4131.00,0
squareheadteachers.com,0.006541333,160,1891,742,562.00,0
sightandsoundreading.com,0.006527432,183,7587,4426,862.00,0
merriam-webster.com,0.0065250713,4960,2757117,271197083,232485725.00,12
essayshark.com,0.006521409,218,31688,46640,99737.00,0
